,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
26,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3
27,37,No,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7
28,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0
30,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2
31,28,No,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2
34,31,No,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2
36,37,No,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2
38,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0
40,36,No,Travel_Frequently,Research & Development,8,3,Other,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0
41,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2
43,18,No,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0
44,28,No,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7
46,39,No,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7
47,36,No,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8
48,32,No,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8
49,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1
50,58,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2
51,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3
52,31,No,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0
54,31,No,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2
57,43,No,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7
60,27,No,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2
62,27,No,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4
63,31,No,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7
64,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7
65,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2
66,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9
69,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0
70,33,No,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1
72,43,No,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0
73,27,No,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4
77,40,No,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2
78,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7
79,29,No,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2
80,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2
81,27,No,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7
82,37,No,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4
83,38,No,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9
84,31,No,Travel_Rarely,Research & Development,6,3,Medical,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10
85,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7
86,35,No,Travel_Rarely,Sales,16,2,Technical Degree,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13
87,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2
88,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2
89,47,No,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0
90,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0
91,29,No,Non-Travel,Sales,22,4,Marketing,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2
92,42,No,Travel_Rarely,Sales,7,4,Medical,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0
93,32,No,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7
94,48,No,Travel_Rarely,Sales,13,4,Medical,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0
96,30,No,Non-Travel,Sales,25,4,Other,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2
98,42,No,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory Technician,Single,21330,3.0,Y,13,8,2,14.0,2,1,0,0
100,36,No,Non-Travel,Human Resources,28,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4.0,Y,22,8,0,7.0,4,1,0,0
101,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,2,Research Scientist,Married,47710,4.0,Y,13,8,1,16.0,2,13,1,12
103,40,No,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3.0,Y,14,8,1,10.0,3,7,1,7
104,21,No,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1.0,Y,14,8,0,3.0,2,3,2,2
105,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,Y,21,8,1,1.0,3,1,0,0
106,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6.0,Y,19,8,0,17.0,3,5,0,3
107,46,No,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2.0,Y,11,8,0,7.0,3,1,0,0
110,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,Y,20,8,0,8.0,2,6,1,0
111,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Human Resources,Single,28670,0.0,Y,24,8,0,3.0,5,2,2,2
112,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,Y,12,8,1,1.0,2,1,0,0
116,28,No,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1.0,Y,12,8,0,7.0,2,7,0,7
118,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,41050,4.0,Y,22,8,1,18.0,2,7,0,7
119,36,No,Travel_Rarely,Sales,15,2,Life Sciences,Male,1,Sales Executive,Married,96790,4.0,Y,12,8,0,6.0,1,2,2,2
122,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,5,Manager,Divorced,28970,1.0,Y,18,8,3,5.0,4,5,0,3
123,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,2,Manager,Married,59680,1.0,Y,13,8,0,1.0,3,1,0,0
124,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0.0,Y,18,8,3,7.0,3,6,0,4
125,22,No,Travel_Rarely,Research & Development,16,5,Other,Male,1,Research Scientist,Married,29910,1.0,Y,19,8,2,2.0,3,2,1,2
129,40,No,Travel_Rarely,Research & Development,6,2,Medical,Male,3,Research Scientist,Divorced,43320,7.0,Y,14,8,2,8.0,3,5,1,3
130,42,No,Travel_Rarely,Research & Development,2,3,Medical,Female,4,Manager,Divorced,110310,3.0,Y,12,8,1,8.0,2,5,1,2
131,37,No,Travel_Rarely,Sales,9,1,Marketing,Male,3,Sales Executive,Single,44400,2.0,Y,11,8,1,18.0,3,1,0,1
136,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,3,Sales Executive,Married,21870,1.0,Y,15,8,1,13.0,2,13,3,12
138,43,No,Travel_Rarely,Sales,27,4,Life Sciences,Male,2,Sales Representative,Divorced,39770,4.0,Y,18,8,1,8.0,3,5,0,2
139,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,Male,1,Manufacturing Director,Single,86330,1.0,Y,19,8,1,5.0,2,5,1,3
141,31,No,Travel_Rarely,Research & Development,24,1,Medical,Male,3,Laboratory Technician,Married,44400,1.0,Y,13,8,1,4.0,2,4,3,2
144,30,No,Travel_Rarely,Sales,5,4,Medical,Female,2,Manufacturing Director,Single,54100,0.0,Y,17,8,1,6.0,2,5,4,4
145,41,No,Travel_Rarely,Research & Development,7,3,Technical Degree,Female,3,Research Scientist,Married,27820,1.0,Y,14,8,0,10.0,2,10,0,7
146,28,No,Travel_Rarely,Research & Development,7,3,Medical,Male,3,Healthcare Representative,Divorced,119570,1.0,Y,13,8,0,10.0,2,10,1,8
147,25,Yes,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5.0,Y,13,8,0,6.0,3,2,0,2
149,45,No,Travel_Rarely,Research & Development,2,3,Medical,Female,1,Sales Executive,Married,50980,3.0,Y,14,8,1,8.0,4,2,0,2
151,42,No,Travel_Frequently,Sales,10,3,Marketing,Female,2,Healthcare Representative,Divorced,28370,2.0,Y,13,8,1,19.0,0,5,0,2
152,30,No,Travel_Rarely,Sales,25,3,Marketing,Male,1,Sales Executive,Single,24060,2.0,Y,20,8,1,11.0,5,5,0,2
154,46,No,Travel_Rarely,Sales,19,4,Marketing,Female,1,Sales Executive,Divorced,41080,2.0,Y,14,8,0,19.0,5,10,0,8
155,42,No,Travel_Frequently,Research & Development,18,4,Technical Degree,Male,4,Sales Executive,Married,132060,0.0,Y,13,8,2,7.0,2,6,0,4
156,24,Yes,Travel_Rarely,Research & Development,27,2,Medical,Male,1,Research Scientist,Single,104220,1.0,Y,17,8,1,6.0,0,5,1,4
157,34,Yes,Travel_Frequently,Research & Development,5,3,Medical,Male,2,Research Scientist,Divorced,137440,0.0,Y,20,8,1,3.0,3,2,1,0
158,38,No,Travel_Frequently,Sales,3,3,Marketing,Female,2,Sales Executive,Married,49070,1.0,Y,11,8,1,1.0,3,1,0,0
160,26,No,Travel_Rarely,Research & Development,3,2,Medical,Female,4,Healthcare Representative,Divorced,24360,1.0,Y,24,8,0,3.0,2,3,0,2
161,30,No,Non-Travel,Research & Development,15,3,Medical,Female,2,Sales Executive,Married,23800,4.0,Y,18,8,3,9.0,2,5,1,4
163,29,Yes,Travel_Rarely,Research & Development,19,4,Life Sciences,Male,3,Research Scientist,Married,17900,5.0,Y,16,8,1,6.0,4,2,1,1
164,19,Yes,Travel_Rarely,Research & Development,4,3,Medical,Male,1,Sales Executive,Single,76440,1.0,Y,15,8,2,1.0,2,1,0,0
172,35,No,Travel_Rarely,Research & Development,15,2,Medical,Female,2,Laboratory Technician,Single,54060,0.0,Y,12,8,1,6.0,2,5,4,3
173,54,No,Travel_Rarely,Research & Development,2,4,Medical,Male,2,Human Resources,Single,89380,7.0,Y,11,8,3,19.0,2,1,0,0
174,34,No,Travel_Rarely,Sales,8,2,Life Sciences,Male,1,Laboratory Technician,Divorced,24390,3.0,Y,11,8,2,14.0,2,7,5,7
175,46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Healthcare Representative,Married,88370,2.0,Y,18,8,0,15.0,3,3,1,2
176,31,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,2,Research Director,Divorced,53430,1.0,Y,14,8,1,13.0,3,13,0,8
178,33,Yes,Travel_Rarely,Sales,5,4,Marketing,Male,2,Research Director,Divorced,66520,7.0,Y,25,8,0,8.0,5,4,1,3
179,30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Sales Executive,Single,48500,0.0,Y,12,8,1,4.0,4,3,1,2
180,35,No,Travel_Rarely,Research & Development,12,2,Medical,Female,2,Sales Representative,Married,28090,4.0,Y,23,8,1,10.0,2,8,0,0
181,31,Yes,Travel_Frequently,Research & Development,22,2,Medical,Female,2,Sales Executive,Married,56890,3.0,Y,15,8,2,12.0,2,1,0,0
183,42,No,Travel_Frequently,Research & Development,2,4,Medical,Female,1,Research Scientist,Married,29770,4.0,Y,15,8,3,8.0,3,2,2,0
185,22,Yes,Travel_Frequently,Research & Development,7,3,Medical,Female,2,Laboratory Technician,Single,37850,5.0,Y,13,8,2,4.0,2,2,1,2
188,41,No,Non-Travel,Research & Development,3,2,Life Sciences,Female,2,Research Scientist,Single,99360,7.0,Y,17,8,1,16.0,2,14,1,10
191,39,No,Travel_Frequently,Research & Development,12,1,Medical,Male,1,Research Scientist,Married,99910,1.0,Y,16,8,1,8.0,3,8,0,7
192,31,No,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,3,Research Director,Single,61420,4.0,Y,13,8,2,10.0,2,6,0,5
193,42,No,Travel_Rarely,Research & Development,5,3,Medical,Male,3,Sales Executive,Married,53900,1.0,Y,14,8,0,10.0,3,10,5,8
194,45,No,Travel_Rarely,Research & Development,2,1,Medical,Female,4,Sales Executive,Married,44040,0.0,Y,23,8,0,9.0,2,8,3,7
195,26,Yes,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,2,Laboratory Technician,Divorced,59930,0.0,Y,12,8,0,8.0,3,7,1,0
196,29,No,Travel_Rarely,Research & Development,5,3,Medical,Male,1,Research Scientist,Divorced,51300,4.0,Y,11,8,0,8.0,3,3,1,2
197,33,No,Travel_Rarely,Research & Development,16,3,Medical,Female,1,Laboratory Technician,Divorced,20900,4.0,Y,16,8,0,10.0,2,6,0,5
199,18,Yes,Travel_Frequently,Research & Development,2,3,Technical Degree,Male,1,Sales Executive,Single,34680,1.0,Y,18,8,2,0.0,4,0,0,0
201,41,No,Non-Travel,Research & Development,23,3,Life Sciences,Male,2,Manufacturing Director,Single,26700,2.0,Y,15,8,2,10.0,2,8,0,7
202,26,No,Travel_Rarely,Research & Development,9,4,Medical,Male,3,Healthcare Representative,Divorced,26930,5.0,Y,17,8,3,8.0,3,0,0,0
203,35,No,Travel_Rarely,Research & Development,16,4,Medical,Male,2,Human Resources,Single,95260,1.0,Y,15,8,0,5.0,2,5,0,3
204,34,No,Travel_Rarely,Research & Development,26,3,Medical,Male,1,Laboratory Technician,Single,52370,1.0,Y,19,8,1,10.0,3,10,5,7
205,26,Yes,Travel_Rarely,Sales,1,3,Marketing,Female,2,Manufacturing Director,Single,24260,1.0,Y,22,8,0,1.0,3,1,0,0
206,37,No,Travel_Rarely,Research & Development,8,1,Life Sciences,Male,1,Sales Executive,Single,41930,4.0,Y,16,8,1,12.0,5,6,1,2
212,24,No,Travel_Frequently,Sales,22,3,Life Sciences,Female,1,Healthcare Representative,Married,29350,0.0,Y,14,8,2,3.0,5,2,2,1
213,38,No,Travel_Rarely,Research & Development,5,3,Life Sciences,Female,1,Research Scientist,Married,154270,3.0,Y,16,8,1,18.0,2,1,0,0
214,37,No,Travel_Rarely,Research & Development,1,4,Technical Degree,Female,5,Research Scientist,Married,39440,6.0,Y,11,8,2,8.0,3,6,4,3
216,24,No,Travel_Rarely,Sales,1,3,Marketing,Female,1,Sales Executive,Married,34070,1.0,Y,15,8,2,6.0,2,6,1,4
217,26,No,Travel_Rarely,Research & Development,19,4,Technical Degree,Female,4,Sales Executive,Married,119940,1.0,Y,14,8,1,6.0,6,5,1,4
218,24,No,Travel_Rarely,Sales,7,3,Medical,Female,1,Laboratory Technician,Married,12320,1.0,Y,12,8,0,1.0,4,1,0,0
221,24,Yes,Travel_Frequently,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,39190,1.0,Y,21,8,0,6.0,3,6,1,2
222,30,Yes,Travel_Frequently,Research & Development,9,3,Other,Male,2,Healthcare Representative,Married,68250,1.0,Y,14,8,0,1.0,2,1,0,0
223,34,No,Travel_Rarely,Sales,6,2,Life Sciences,Male,4,Research Director,Married,102480,1.0,Y,12,8,1,6.0,4,6,1,3
225,35,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,5,Sales Executive,Single,24960,4.0,Y,17,8,3,9.0,3,3,0,2
226,31,No,Travel_Rarely,Sales,1,3,Marketing,Female,2,Sales Executive,Divorced,64650,4.0,Y,17,8,0,13.0,3,7,5,7
227,27,No,Travel_Rarely,Sales,22,4,Medical,Male,1,Sales Representative,Divorced,22060,0.0,Y,14,8,1,6.0,4,5,0,3
228,37,No,Travel_Rarely,Sales,9,4,Marketing,Female,2,Laboratory Technician,Married,20860,4.0,Y,14,8,0,17.0,3,3,1,0
229,20,No,Travel_Rarely,Research & Development,17,4,Medical,Female,1,Sales Representative,Single,22930,1.0,Y,13,8,2,1.0,3,1,0,0
230,42,No,Travel_Rarely,Research & Development,28,4,Life Sciences,Female,2,Manufacturing Director,Married,26450,1.0,Y,15,8,0,10.0,5,10,2,2
232,38,No,Travel_Rarely,Human Resources,2,4,Medical,Male,1,Human Resources,Single,20140,3.0,Y,17,8,1,8.0,5,0,0,0
233,43,No,Travel_Frequently,Sales,4,3,Medical,Female,2,Healthcare Representative,Divorced,34190,3.0,Y,11,8,1,10.0,5,8,4,7
235,44,No,Travel_Rarely,Sales,29,4,Marketing,Male,2,Sales Executive,Single,19510,4.0,Y,22,8,3,10.0,4,2,0,2
236,34,No,Travel_Rarely,Research & Development,13,4,Life Sciences,Female,1,Laboratory Technician,Divorced,23410,1.0,Y,20,8,2,8.0,3,8,0,6
237,27,Yes,Travel_Rarely,Sales,27,3,Life Sciences,Male,2,Research Scientist,Divorced,22930,0.0,Y,18,8,0,5.0,0,4,0,2
238,21,No,Travel_Rarely,Sales,16,2,Life Sciences,Male,3,Sales Executive,Single,87260,1.0,Y,11,8,1,3.0,2,3,1,2
241,33,No,Travel_Rarely,Sales,13,4,Marketing,Female,2,Manufacturing Director,Divorced,45680,0.0,Y,18,8,1,6.0,2,5,1,2
242,32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,Female,1,Healthcare Representative,Married,30220,1.0,Y,16,8,1,6.0,3,6,0,5
243,30,No,Travel_Frequently,Research & Development,4,5,Technical Degree,Male,3,Manager,Divorced,57720,1.0,Y,17,8,0,1.0,3,1,0,0
246,45,Yes,Travel_Frequently,Research & Development,19,4,Life Sciences,Male,3,Research Director,Married,34410,2.0,Y,13,8,1,5.0,5,1,0,0
247,26,No,Travel_Rarely,Research & Development,7,2,Life Sciences,Male,1,Manufacturing Director,Married,54540,1.0,Y,13,8,1,3.0,5,3,0,2
249,29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,1,Healthcare Representative,Married,41570,1.0,Y,17,8,3,6.0,2,6,1,2
251,33,No,Travel_Frequently,Research & Development,8,3,Technical Degree,Male,2,Laboratory Technician,Divorced,90690,3.0,Y,25,8,1,15.0,3,13,4,7
253,36,No,Travel_Rarely,Research & Development,8,3,Life Sciences,Male,2,Research Scientist,Divorced,59150,2.0,Y,13,8,1,13.0,3,3,0,2
254,27,No,Travel_Rarely,Sales,9,3,Marketing,Male,5,Research Director,Single,59930,0.0,Y,14,8,1,5.0,3,4,1,1
255,20,Yes,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,5,Sales Representative,Single,61620,1.0,Y,12,8,3,1.0,2,1,1,1
258,23,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Healthcare Representative,Married,76370,2.0,Y,11,8,1,5.0,3,3,0,2
259,25,No,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Manufacturing Director,Married,100960,0.0,Y,11,8,1,4.0,3,3,1,2
260,38,No,Travel_Rarely,Research & Development,16,3,Life Sciences,Male,5,Research Scientist,Single,147560,0.0,Y,20,8,1,8.0,3,7,0,5
261,29,No,Travel_Frequently,Sales,2,4,Life Sciences,Male,4,Healthcare Representative,Divorced,64990,1.0,Y,18,8,3,10.0,3,10,2,8
262,48,No,Travel_Rarely,Research & Development,16,3,Technical Degree,Male,1,Sales Executive,Married,97240,3.0,Y,13,8,0,12.0,2,2,2,2
263,27,No,Travel_Frequently,Sales,4,3,Technical Degree,Male,5,Laboratory Technician,Divorced,21940,1.0,Y,12,8,0,6.0,5,6,0,4
264,37,No,Travel_Rarely,Research & Development,16,3,Life Sciences,Male,3,Manager,Single,33880,3.0,Y,11,8,0,4.0,2,1,0,0
269,32,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,5,Research Scientist,Single,30380,1.0,Y,11,8,0,10.0,5,10,0,8
270,50,Yes,Travel_Frequently,Research & Development,4,2,Medical,Male,4,Sales Representative,Married,44240,3.0,Y,14,8,1,18.0,2,4,1,3
271,38,No,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,1,Sales Executive,Single,43120,0.0,Y,12,8,1,10.0,2,9,1,8
272,27,No,Travel_Rarely,Research & Development,10,3,Medical,Male,5,Research Scientist,Married,132450,1.0,Y,23,8,1,9.0,3,9,0,7
279,27,No,Travel_Frequently,Research & Development,29,1,Life Sciences,Male,2,Manufacturing Director,Divorced,43250,1.0,Y,14,8,0,9.0,2,9,1,7
281,50,No,Travel_Rarely,Sales,9,3,Life Sciences,Male,2,Research Scientist,Married,23220,7.0,Y,25,8,1,4.0,0,2,2,2
282,28,Yes,Travel_Rarely,Sales,2,4,Life Sciences,Male,3,Research Scientist,Single,20750,7.0,Y,18,8,3,10.0,0,7,3,7
284,38,No,Travel_Rarely,Research & Development,1,3,Medical,Female,3,Manager,Single,96190,4.0,Y,13,8,1,10.0,2,1,0,0
285,44,No,Non-Travel,Research & Development,8,2,Life Sciences,Male,1,Research Scientist,Single,135030,2.0,Y,12,8,0,9.0,6,5,1,4
288,29,No,Travel_Rarely,Research & Development,1,2,Medical,Female,1,Sales Executive,Single,106730,1.0,Y,13,8,3,1.0,2,1,0,0
289,42,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Sales Executive,Divorced,50100,6.0,Y,21,8,3,7.0,3,2,2,2
290,43,No,Travel_Frequently,Research & Development,26,1,Life Sciences,Male,1,Laboratory Technician,Married,135490,3.0,Y,11,8,2,7.0,3,2,2,2
291,34,No,Travel_Rarely,Research & Development,2,5,Technical Degree,Male,2,Healthcare Representative,Single,49990,3.0,Y,12,8,2,10.0,2,5,4,3
292,23,No,Travel_Rarely,Sales,13,3,Marketing,Male,5,Sales Executive,Married,42210,1.0,Y,11,8,1,5.0,4,4,0,2
295,40,No,Travel_Rarely,Sales,9,3,Marketing,Male,2,Research Scientist,Single,20730,0.0,Y,14,8,0,5.0,3,4,2,3
297,29,No,Travel_Rarely,Sales,20,3,Marketing,Female,2,Manager,Divorced,29260,1.0,Y,15,8,1,2.0,3,2,2,2
